"education expenditures_(4.133, 5.6]_0","If a country *spends less than 4.1% or more than 5.6% of GDP on education*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"education expenditures_(4.133, 5.6]_1","If a country *spends between 4.1% and 5.6% of GDP on education*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"education expenditures_(4.133, 5.6] ",What is the ratio of countries *spending between 4.1% and 5.6% of GDP on education*? Give your best guess (between 0 and 1).
region_3_0,"If a country *is located outside of Asia*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
region_3_1,"If a country *is in Asia*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
region_3,What is the ratio of countries *being located in Asia*? Give your best guess (between 0 and 1).
"electricity consumption per capita_(4244.0286, 48501.33]_0","If a country *has an electricity consumption per capita lower than 4200kWh*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"electricity consumption per capita_(4244.0286, 48501.33]_1","If a country *has an electricity consumption per capita higher than 4200kWh*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"electricity consumption per capita_(4244.0286, 48501.33]",What is the ratio of countries *having an elecricity consumption higher than 4200kWh*? Give your best guess (between 0 and 1).
"internet users_[14400, 1167666.667]_0","If a country *has more than 1,168,000 Internet users*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"internet users_[14400, 1167666.667]_1","If a country *has less than 1,168,000 Internet users*, what is the chance (or probability) that it won at least one gold medal in the last Olympics? Give your best guess (between 0 and 1)."
"internet users_[14400, 1167666.667]","What is the ratio of countries *having less than 1,168,000 Internet users*? Give your best guess (between 0 and 1)."
medals,What is the ratio of countries *having having won at least one gold medal in the last Olympics*? Give your best guess (between 0 and 1).
