,actual,actual,actual,actual,diff,diff,diff,diff,sampled,sampled,sampled,sampled
,p,p|f=0,p|f=1,IG,p,p|f=0,p|f=1,IG,p,p|f=0,p|f=1,IG
,,,,,,,,,,,,
Fjob_teacher,0.0554699538,0.5203915171,0.8055555556,0.0133958491,0.0445300462,0.0796084829,0.0055555556,0.0405558064,0.1,0.6,0.8,0.0539516555
"Medu_(-0.004, 1.333]",0.2295839753,0.594,0.3422818792,0.0327358638,0.0295839753,0.006,0.2422818792,0.0967045419,0.2,0.6,0.1,0.1294404057
Mjob_at_home,0.2080123267,0.5914396887,0.3259259259,0.0340020072,0.0919876733,0.0914396887,0.2740740741,0.0252871855,0.3,0.5,0.6,0.0087148217
Mjob_other,0.3975346687,0.5345268542,0.5387596899,1.24479018781543E-05,0.2024653313,0.1654731458,0.2387596899,0.1186966529,0.6,0.7,0.3,0.1187091008
Pstatus==T,0.8767334361,0.5375,0.5360281195,6.79193217223428E-07,0.3767334361,0.0375,0.0639718805,0.0145240236,0.5,0.5,0.6,0.0145247028
"absences_(21.333, 32]",0.0092449923,0.5381026439,0.3333333333,0.0011232552,0.2907550077,0.0381026439,0.0333333333,0.034489475,0.3,0.5,0.3,0.0356127302
"age_(19.667, 22]",0.0138674884,0.5375,0.4444444444,0.0003423834,0.0861325116,0.0375,0.4555555556,0.0527580572,0.1,0.5,0.9,0.0531004406
"failures_(-0.003, 1]",0.9537750385,0.0666666667,0.5589660743,0.0356955478,0.7537750385,0.1333333333,0.2589660743,0.2105037964,0.2,0.2,0.3,0.2461993442
"failures_(1, 2]",0.0246533128,0.5466034755,0.125,0.0135873259,0.4753466872,0.4466034755,0.375,0.2519148773,0.5,0.1,0.5,0.2655022032
"failures_(2, 3]",0.0215716487,0.5480314961,0,0.0243083335,0.0784283513,0.3519685039,0.1,0.5066960729,0.1,0.9,0.1,0.5310044064
famsize==LE3,0.2958397535,0.5361050328,0.5364583333,7.5424225309817E-08,0.3041602465,0.1638949672,0.1635416667,0.1187090253,0.6,0.7,0.7,0.1187091008
"health_(2.333, 3.667]",0.1910631741,0.5371428571,0.5322580645,1.06942073692107E-05,0.0910631741,0.0628571429,0.1677419355,0.0380046809,0.1,0.6,0.7,0.0380153751
higher==yes,0.8936825886,0.0724637681,0.5913793103,0.0843099319,0.3936825886,0.4275362319,0.1086206897,0.0249553815,0.5,0.5,0.7,0.0593545504
paid==yes,0.0600924499,0.537704918,0.5128205128,0.0001012689,0.0399075501,0.137704918,0.1128205128,0.0289481367,0.1,0.4,0.4,0.0290494055
"studytime_(0.997, 2]",0.7966101695,0.7272727273,0.4874274662,0.0280309704,0.1966101695,0.1727272727,0.0874274662,0.2018004355,0.6,0.9,0.4,0.2298314059
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,0.2303441192,0.1568166538,0.1791766875,0.1176365433,,,,
