,IG
"exports_[1163000, 10071333333.333]",0.22305885050000002
"electricity consumption_[90210000, 7952000000]",0.1477781031
"electricity consumption_(55576666666.667, 3890000000000]",0.1438019075
"electricity consumption per person_[26.757, 1320.325]",0.1295142303
"internet users_[14400, 1167666.667]",0.1290843019
"exports_(77193333333.333, 1580000000000]",0.11714502439999999
"electricity consumption per person_(4244.0286, 48501.33]",0.1072995869
region_5,0.08968915
"unemployment rate_[0.3, 6.433]",0.0164863768
"public debt_(61.733, 226.1]",0.0065845362
region_3,0.006428121899999999
"inflation rate_(1.9, 4.2]",0.0043333391
"education expenditures_(4.133, 5.6]",0.00035895029999999996
